Person,Text,sentiment,cleaned_data_final
Visitor," Bagi saya, saya datang sebulan sekali lah dan selalu.",neutral,kali
Visitor,"Cmart ni, saya student UUM so saya tahu lah dekat town ini ada Cmart lepas tu ada area student semua beli barang.",neutral,student dekat town area student beli barang
Visitor,Okay memenuhi keperluan.,neutral,memenuhi perlu
Visitor,"Tapi dekat sini punya harga mahal sikit lah tapi ada semua barang tu ada dekat sini, setuju.",negative,dekat mahal sikit barang dekat
Visitor,"Produk menarik, setuju.",positive,produk menarik
Visitor,"Bagi saya, dia lokasi mudah, boleh datang lah sini untuk akses semua barang dekat sini.",positive,lokasi akses barang dekat
Visitor,"I senang, I berpuas hati.",neutral,senang puas
Visitor,"I berpuas hati dengan servis diorang customer service,cashiers, kebersihan pun okay. ",positive,puas servis orang customer service cashier laju tempat bersih
Visitor,Kaunter ramai dan panjang tapi cepat gerak,positive,ramai panjang cepat gerak
Visitor,"Fifty-fifty la, yang tadi I cakap tu dia okay dia barang semua ada tapi dia lebih mahal la daripada yang tempat lain.",negative,fifty fifty barang mahal tempat
Visitor,"Selalunya TikTok, sebab dia kan ada promosi tu diorang akan up kat TikTok, TikTok Cmart.",positive,selalu promosi orang
Visitor,Datang.,negative,
Visitor,"Bagi I kan I akan recommend sebab dia satu tempat, u boleh dapat semua barang. Kalau u pergi lain tu, u perlu pergi satu-satu kedai. So I recommend lah.",positive,recommend tempat barang kalau pergi pergi kedai recommend
Visitor,"Perlu promosi, sangat setuju.",positive,promosi
Visitor, Dalam seminggu ada dalam 2-3 kali macam tu lah.,neutral,minggu
Visitor," Memang tinggal kat sini. Dan tahu lah, ada cmart kat sini lah.",neutral,tinggal
Visitor," Ya, Cmart memenuhi keperluan komuniti. ",positive,memenuhi perlu komuniti
Visitor,"Sangat setuju.Ya, produk menarik betul. Sangat setuju.",positive,produk menarik
Visitor, Sebab semua barang yang kita perlu tu ada kat sini.,neutral,barang
Visitor," Senang sebab parking banyak, tak jammed",positive,senang parking 
Visitor," Berpuas hati dengan kemudahan. Sangat setuju. Berpuas hati, sangat setuju. Bersih, kemudahan semua ada",positive,puas bersih
Visitor,Perkhidmatan sesuai dan harga sesuai. ,neutral,perkhidmatan sesuai sesuai
Visitor,"Okey lah, ikut barang, ada yang kat tempat lain mahal kat sini murah. Setuju.",negative,ikut barang tempat mahal murah
Visitor,Tak juga. Sebab kita sendiri yang nak mai sini kan. Tak ada pengaruh sosial media apalah. Memang nak beli barang kat sini. Tidak setuju bukan sebab sosial media.,negative,sendiri pengaruh sosial apa beli barang sosial
Visitor," Memang akan datang. Recommend, Recommend sebab semua barang ada kat sini.",neutral,recommend recommend barang
Visitor, Apa yang kita nak semua ada kat sini. Recommend.,positive,recommend
Visitor," Setuju. Perlu buat lebih banyak promosi, buat banyak aktiviti lagi lah. Untuk menarik pelanggan. ",neutral,promosi pelanggan
Visitor,Semiggu dua kali.,neutral,semiggu
Visitor,"Memang lahir kat sini, membesar kat sini.",neutral,lahir besar
Visitor,"Ya, cmart memenuhi keperluan.",neutral,memenuhi perlu
Visitor,"Ya, complete produk yang ditawarkan.",positive,complete produk tawar
Visitor,"Ya, betul centre dan mudah diakses.",positive,betul centre mudah akses
Visitor,Puas hati dengan kemudahan.,negative,
Visitor,"Ya, puas hati dengan kawasan.",negative,
Visitor,"Okay, ya puas hati harga, barang murah.",positive,barang murah
Visitor,Tak.,negative,
Visitor,"Ya, betul.",positive,betul
Visitor,Ya.,negative,
Visitor,"Betul, promosi untuk tarikan. Event saja lah, buat playground untuk budak. ",neutral,betul promosi tari event saja playground budak
Visitor,"So, kalau macam ni okay lah Cuma kalau tambah playground macam balloon tu kan, mak-mak boleh shopping, anak boleh duk situ, Sebelum ni ada. ",neutral,kalau cuma kalau tambah playground balloon mak mak shopping duk situ sebelum
Visitor,Servis memuaskan.,positive,servis puas
Vendor,"Handmade lah, kraftangan.",neutral,kraftangan
Vendor,Berapa lama? Dalam enam tahun.,neutral,berapa lama tahun
Vendor,"Banyak tempat la, untuk carboot sale ni baru sekali. Selalu event lah.",neutral,tempat carboot sekali lalu event
Vendor,"Ada, BeeCraft, B-E-E-C-R-A-F-T, TikTok, Facebook pun ada. Ada, hashtag uum, macam malaysia, crochet malaysia. Selalunya untuk konvo la.",negative,
Vendor,"Selalu event dekat UUM macam tu juga kan. Tengahari tiada, panas betul. ",neutral,lalu event dekat kan tengahari tiada panas betul
Vendor,"Pengunjung kurang memuaskan lah, dia mungkin malam kut. ",negative,pengunjung kurang puas
Vendor,Cuaca panas.,negative,cuaca panas
Vendor,Belum lagi lah. Kawan bagitau. Ya.,negative,kawan bagitau
Vendor,"Tak pasti la, mungkin kena ikut event. Tak boleh harapkan media sosial.",neutral,pasti kena ikut event harap sosial
Vendor,Tempat kurang promosi.,neutral,tempat kurang promosi
Vendor,Promote dalam Facebook.,neutral,promote
Vendor,"Setuju, tak pasti lah sebab first time. Okay ja, ada orang tapi kurang. ",neutral,setuju pasti bab first time ja tapi kurang
Vendor,"Mungkin cuaca kurang sesuai, tempat tak sesuai macam ni sebab orang tak nak datang.",neutral,cuaca kurang sesuai tempat sesuai bab
Vendor,"Ada juga, sangat setuju.",positive,sangat setuju
Vendor,Tak okay.,negative,
Vendor,"Ada juga, dalam sekali tu ada la beli seratus macam tu. Sangat setuju, ada juga. Sekali seorang beli macam tu.",neutral,sekali bel ratus sangat setuju sekali seorang bel
Vendor,"Sangat setuju tapi banyakkan Facebook, Tiktok kurang sikit. Ya , betul.",neutral,sangat setuju kurang sikit 
Vendor,"Maksudnya? Membantu, sangat setuju.",positive,bantu sangat setuju
Vendor,"Ada persaingan, tapi tiada la sampai bergaduh masih bertolak ansur. Setuju.",neutral,saing tapi tiada sampai gaduh tolak ansur setuju
Vendor,"Promosi dapat membantu meningkat jumlah pengunjung juga lah, sangat setuju lah. ",positive,promosi bantu tingkat pengunjung sangat setuju
Vendor,"Boleh,akan sertai lagi. sangat setuju.",positive,sangat setuju
